jns_karantina;komoditas;satuan;harga;Komsat
T;BUNGA MAWAR;kilogram;67.924;BUNGA MAWAR/kilogram
T;BIBIT JERUK;buah/butir/batang;67.727;BIBIT JERUK/buah/butir/batang
T;SEREH WANGI;kilogram;67.625;SEREH WANGI/kilogram
T;BUAH JERUK BALI;kilogram;67.099;BUAH JERUK BALI/kilogram
T;KAYU RAMIN;kilogram;67.028;KAYU RAMIN/kilogram
T;DAUN SINGKONG;kilogram;66.923;DAUN SINGKONG/kilogram
T;AGAR LAUT;kilogram;66.908;AGAR LAUT/kilogram
T;ROTAN;buah/butir/batang;66.851;ROTAN/buah/butir/batang
T;KACANG MEDE;kilogram;66.813;KACANG MEDE/kilogram
T;BUNGA ANGGREK VANDA;buah/butir/batang;66.667;BUNGA ANGGREK VANDA/buah/butir/batang
T;DAUN PHYLODENDRON;box;66.667;DAUN PHYLODENDRON/box
I;Kerupuk Udang;kilogram;66.642;Kerupuk Udang/kilogram
T;BUNGA KAMBOJA;kilogram;66.506;BUNGA KAMBOJA/kilogram
I;Fire Cleaner Shrimp;kilogram;66.379;Fire Cleaner Shrimp/kilogram
I;Barbus;kilogram;66.314;Barbus/kilogram
I;Udang Kipas;ekor;66.090;Udang Kipas/ekor
T;BAHAN BAKU LAIN;botol;66.000;BAHAN BAKU LAIN/botol
T;BUNGA KAMBOJA;buah/butir/batang;66.000;BUNGA KAMBOJA/buah/butir/batang
I;Aligator Gar;kilogram;65.624;Aligator Gar/kilogram
I;Baslet;kilogram;65.612;Baslet/kilogram
I;Benih Udang Windu;kilogram;65.580;Benih Udang Windu/kilogram
I;Lepu;kilogram;65.580;Lepu/kilogram
T;BUNGKIL KEDELAI;kilogram;65.527;BUNGKIL KEDELAI/kilogram
T;BENIH PALEM LICUALA;buah/butir/batang;65.389;BENIH PALEM LICUALA/buah/butir/batang
I;Udang Air Laut;kilogram;65.367;Udang Air Laut/kilogram
I;Bibit Induk Ikan Lainnya;kilogram;65.364;Bibit Induk Ikan Lainnya/kilogram
T;DAUN ASHITABA;kilogram;65.251;DAUN ASHITABA/kilogram
T;BUNGA SCHOLTZIA;buah/butir/batang;65.200;BUNGA SCHOLTZIA/buah/butir/batang
I;Cakalang;ekor;65.000;Cakalang/ekor
I;Cakalang;kilogram;65.000;Cakalang/kilogram
I;Ikan Cakalang;kilogram;65.000;Ikan Cakalang/kilogram
I;Ikan Kakatua;kilogram;65.000;Ikan Kakatua/kilogram
I;Ikan Rasbora;kilogram;64.796;Ikan Rasbora/kilogram
T;JAMUR KERING;kilogram;64.409;JAMUR KERING/kilogram
I;Udang Dogol;kilogram;64.186;Udang Dogol/kilogram
T;BUAH PEPAYA;kilogram;64.137;BUAH PEPAYA/kilogram
T;KULIT KAYU SERBUK;kilogram;64.097;KULIT KAYU SERBUK/kilogram
T;PERSIMMON JEPANG;buah/butir/batang;64.000;PERSIMMON JEPANG/buah/butir/batang
T;POLYPODIACEAE;buah/butir/batang;63.911;POLYPODIACEAE/buah/butir/batang
I;Udang Mantis;ekor;63.777;Udang Mantis/ekor
T;SELADA AIR;kilogram;63.731;SELADA AIR/kilogram
I;Serandang;ekor;63.724;Serandang/ekor
T;KULIT KAYU MANIS;kilogram;63.699;KULIT KAYU MANIS/kilogram
I;Gabus;ekor;63.602;Gabus/ekor
I;Ikan Sarden;kilogram;63.281;Ikan Sarden/kilogram
I;Lobster Bambu;kilogram;62.800;Lobster Bambu/kilogram
I;Ikan Tapah;kilogram;62.606;Ikan Tapah/kilogram
I;Cupang Alam;ekor;62.388;Cupang Alam/ekor
T;AIR KELAPA;kilogram;62.378;AIR KELAPA/kilogram
I;Ikan Mas;kilogram;62.373;Ikan Mas/kilogram
I;Emperor;ekor;62.061;Emperor/ekor
I;Oscar;ekor;62.000;Oscar/ekor
I;Kepiting Hias;kilogram;61.899;Kepiting Hias/kilogram
I;Kepiting Bakau;ekor;61.564;Kepiting Bakau/ekor
T;BUBUK JAHE;buah/butir/batang;61.538;BUBUK JAHE/buah/butir/batang
T;WALNUT;kilogram;61.521;WALNUT/kilogram
T;BUBUK LAOS;kilogram;61.104;BUBUK LAOS/kilogram
T;OREGANO;kilogram;61.019;OREGANO/kilogram
T;SERBUK DAUN CENGKEH;kilogram;60.768;SERBUK DAUN CENGKEH/kilogram
T;BUAH SALAK;box;60.259;BUAH SALAK/box
I;Udang Galah;kilogram;60.160;Udang Galah/kilogram
H;Ayam;ekor;60.000;Ayam/ekor
H;Kulit Babi Kering;kilogram;60.000;Kulit Babi Kering/kilogram
H;Susu Kambing;kilogram;60.000;Susu Kambing/kilogram
H;Tokek;ekor;60.000;Tokek/ekor
H;Ulat;kilogram;60.000;Ulat/kilogram
I;Barracuda;kilogram;60.000;Barracuda/kilogram
I;Ringau;kilogram;60.000;Ringau/kilogram
T;BENIH PALEM EKOR TUPAI;kilogram;60.000;BENIH PALEM EKOR TUPAI/kilogram
T;TEH;peti kemas;60.000;TEH/peti kemas
T;MELINJO BIJI;kilogram;59.835;MELINJO BIJI/kilogram
T;KAYU MANGGA;kilogram;59.831;KAYU MANGGA/kilogram
T;BIBIT AGAVE;buah/butir/batang;59.344;BIBIT AGAVE/buah/butir/batang
I;Ikan Patin;kilogram;58.930;Ikan Patin/kilogram
I;Tesselated Fusilier;ekor;58.521;Tesselated Fusilier/ekor
T;MEDIA TANAMAN;buah/butir/batang;58.515;MEDIA TANAMAN/buah/butir/batang
I;Ikan Mas;ekor;58.460;Ikan Mas/ekor
T;BIBIT PALA;kilogram;58.336;BIBIT PALA/kilogram
T;BARANG KEPERLUAN PRIBADI;kilogram;58.250;BARANG KEPERLUAN PRIBADI/kilogram
T;JENGKOL BEKU;kilogram;58.201;JENGKOL BEKU/kilogram
I;Rumput Laut;ekor;58.132;Rumput Laut/ekor
T;MINYAK NILAM;buah/butir/batang;58.054;MINYAK NILAM/buah/butir/batang
I;Mas Koki;ekor;58.000;Mas Koki/ekor
I;Gurita;ekor;57.885;Gurita/ekor
I;Semah;kilogram;57.483;Semah/kilogram
T;PACHIRA;buah/butir/batang;57.250;PACHIRA/buah/butir/batang
T;TANAMAN PENUTUP TANAH;kilogram;57.168;TANAMAN PENUTUP TANAH/kilogram
T;SAYURAN KUBIS;kilogram;57.102;SAYURAN KUBIS/kilogram
I;Bete Bete;kilogram;56.916;Bete Bete/kilogram
T;BENIH BUNCIS;kilogram;56.725;BENIH BUNCIS/kilogram
I;Singa Laut;ekor;56.713;Singa Laut/ekor
T;BUAH MANGGIS;kemasan;56.657;BUAH MANGGIS/kemasan
T;BIBIT SAWO;buah/butir/batang;56.555;BIBIT SAWO/buah/butir/batang
I;Ikan Lencam;kilogram;56.460;Ikan Lencam/kilogram
I;Ikan Kelinci;ekor;56.249;Ikan Kelinci/ekor
I;Titang;ekor;56.150;Titang/ekor
T;CABE KERING;kilogram;55.992;CABE KERING/kilogram
T;CABE KERITING;kilogram;55.830;CABE KERITING/kilogram
T;BUAH BELIMBING;kilogram;55.621;BUAH BELIMBING/kilogram
T;RHAPIDOPHORA;buah/butir/batang;55.573;RHAPIDOPHORA/buah/butir/batang
I;Kisu Fish;kilogram;55.430;Kisu Fish/kilogram
I;Frozen Shark;kilogram;55.403;Frozen Shark/kilogram
I;Ikan Sebelah;kilogram;55.258;Ikan Sebelah/kilogram
T;BAWANG MERAH;kilogram;55.231;BAWANG MERAH/kilogram
T;JAMUR;kilogram;55.067;JAMUR/kilogram
T;KELOR;buah/butir/batang;55.000;KELOR/buah/butir/batang
T;LOBAK REBUS;buah/butir/batang;55.000;LOBAK REBUS/buah/butir/batang
T;ALMON;buah/butir/batang;54.773;ALMON/buah/butir/batang
I;Goby;kilogram;54.659;Goby/kilogram
I;Ikan Pelangi Sirip Benang;kilogram;54.428;Ikan Pelangi Sirip Benang/kilogram
T;KELAPA BULAT;kilogram;7.048;KELAPA BULAT/kilogram
T;BUNGA EMU BUSH;buah/butir/batang;53.728;BUNGA EMU BUSH/buah/butir/batang
T;CROTON SP;buah/butir/batang;53.668;CROTON SP/buah/butir/batang
T;ARECACEAE;box;53.333;ARECACEAE/box
T;MONSTERA VARIGATA;buah/butir/batang;53.171;MONSTERA VARIGATA/buah/butir/batang
T;KACANG-KACANGAN KECUALI BROAD BEANS DAN KEDELAI;kilogram;53.090;KACANG-KACANGAN KECUALI BROAD BEANS DAN KEDELAI/kilogram
T;BUAH JERUK ASAM;kilogram;53.069;BUAH JERUK ASAM/kilogram
I;Frozen Alaska Pollack;kilogram;52.983;Frozen Alaska Pollack/kilogram
T;BUNGKIL KEDELAI;buah/butir/batang;52.564;BUNGKIL KEDELAI/buah/butir/batang
T;BIBIT PISANG;buah/butir/batang;52.517;BIBIT PISANG/buah/butir/batang
T;BIBIT PLATYCODON;buah/butir/batang;52.500;BIBIT PLATYCODON/buah/butir/batang
T;KUCAI;buah/butir/batang;52.500;KUCAI/buah/butir/batang
I;Hawkfish;ekor;52.351;Hawkfish/ekor
T;BEKATUL;kilogram;52.125;BEKATUL/kilogram
T;AMERICAN LIZARD TAIL;buah/butir/batang;52.009;AMERICAN LIZARD TAIL/buah/butir/batang
T;SORGHUM;kilogram;51.879;SORGHUM/kilogram
T;KETAPANG BIJI;buah/butir/batang;51.488;KETAPANG BIJI/buah/butir/batang
T;BIBIT JAMBU BIJI;buah/butir/batang;51.250;BIBIT JAMBU BIJI/buah/butir/batang
I;Olahan Kepiting;ekor;51.237;Olahan Kepiting/ekor
I;Letter Six;ekor;51.089;Letter Six/ekor
I;Udang Bintik;kilogram;51.042;Udang Bintik/kilogram
T;Kepayang atau Kluwek;kilogram;50.940;Kepayang atau Kluwek/kilogram
I;Ikan Senangin;kilogram;50.808;Ikan Senangin/kilogram
T;KACANG BRAZIL;kilogram;50.569;KACANG BRAZIL/kilogram
T;ARECACEAE;buah/butir/batang;50.556;ARECACEAE/buah/butir/batang
T;OKRA;kilogram;50.452;OKRA/kilogram
T;PETAI;kilogram;50.088;PETAI/kilogram
T;JUTE;buah/butir/batang;50.001;JUTE/buah/butir/batang
H;Daging Ayam;box;50.000;Daging Ayam/box
H;Daging Ayam;kilogram;50.000;Daging Ayam/kilogram
H;Kulit Sapi Jadi;box;50.000;Kulit Sapi Jadi/box
I;Angel Fish;ekor;50.000;Angel Fish/ekor
I;Archer fish;ekor;50.000;Archer fish/ekor
I;Belida;ekor;50.000;Belida/ekor
I;Bete bete / petek;ekor;50.000;Bete bete / petek/ekor
I;FROZEN EEL FILLET;kilogram;50.000;FROZEN EEL FILLET/kilogram
I;Ikan Bandeng;kilogram;50.000;Ikan Bandeng/kilogram
I;Ikan Cupang;ekor;50.000;Ikan Cupang/ekor
I;Ikan Golok-golok;ekor;50.000;Ikan Golok-golok/ekor
I;Ikan Gulamah;kilogram;50.000;Ikan Gulamah/kilogram
I;Ikan Gurami;ekor;50.000;Ikan Gurami/ekor
T;BAWANG MERAH;buah/butir/batang;50.000;BAWANG MERAH/buah/butir/batang
T;BIBIT BELIMBING;buah/butir/batang;50.000;BIBIT BELIMBING/buah/butir/batang
T;BIBIT SINGKONG;buah/butir/batang;50.000;BIBIT SINGKONG/buah/butir/batang
T;BIBIT TEH;buah/butir/batang;50.000;BIBIT TEH/buah/butir/batang
T;BUAH APEL;buah/butir/batang;50.000;BUAH APEL/buah/butir/batang
T;BUAH PLUM;kilogram;50.000;BUAH PLUM/kilogram
T;BUBUK KUNYIT;box;50.000;BUBUK KUNYIT/box
T;BUMBU PECEL;box;50.000;BUMBU PECEL/box
T;BUNGA ACHILLEA;buah/butir/batang;50.000;BUNGA ACHILLEA/buah/butir/batang
T;BUNGA ANGGREK DENDROBIUM;kilogram;50.000;BUNGA ANGGREK DENDROBIUM/kilogram
T;BUNGA BUPLEURUM;buah/butir/batang;50.000;BUNGA BUPLEURUM/buah/butir/batang
T;DAUN KERING;kemasan;50.000;DAUN KERING/kemasan
T;KAYU KUNING;box;50.000;KAYU KUNING/box
T;KAYU OLAHAN;box;50.000;KAYU OLAHAN/box
T;KAYU PALLET;kemasan;50.000;KAYU PALLET/kemasan
T;LUMUT;kilogram;50.000;LUMUT/kilogram
T;PALEM;buah/butir/batang;50.000;PALEM/buah/butir/batang
T;BUAH CRANBERRY;kilogram;49.898;BUAH CRANBERRY/kilogram
T;BIBIT KELENGKENG;buah/butir/batang;49.826;BIBIT KELENGKENG/buah/butir/batang
T;KACANG KAPRI;kilogram;49.713;KACANG KAPRI/kilogram
I;Pakan Udang;kilogram;49.660;Pakan Udang/kilogram
T;SYNGONIUM ALBOLINEATUM;buah/butir/batang;49.644;SYNGONIUM ALBOLINEATUM/buah/butir/batang
I;Udang Kering;kilogram;49.464;Udang Kering/kilogram
T;KUPING GAJAH;buah/butir/batang;49.439;KUPING GAJAH/buah/butir/batang
T;BIBIT SCINDAPSUS;buah/butir/batang;49.425;BIBIT SCINDAPSUS/buah/butir/batang
I;Cangkang Kerang;ekor;49.365;Cangkang Kerang/ekor
I;Gurame;kilogram;49.266;Gurame/kilogram
I;Gurame;ekor;49.255;Gurame/ekor
I;Baslet;ekor;49.170;Baslet/ekor
T;BIBIT BELIMBING WULUH;kilogram;49.167;BIBIT BELIMBING WULUH/kilogram
I;Black Lancer;kilogram;49.062;Black Lancer/kilogram
T;GUANO PHOSPHATE;kilogram;48.803;GUANO PHOSPHATE/kilogram
T;MINYAK KELAPA;kilogram;48.377;MINYAK KELAPA/kilogram
T;UBI JALAR REBUS;kilogram;48.320;UBI JALAR REBUS/kilogram
T;KAPAS SERAT;kilogram;48.024;KAPAS SERAT/kilogram
I;Tilefish;ekor;48.013;Tilefish/ekor
T;BENIH UBIJALAR;kilogram;48.000;BENIH UBIJALAR/kilogram
T;BUAH RAMBUTAN;kilogram;47.870;BUAH RAMBUTAN/kilogram
I;Siput/Keong;kilogram;47.863;Siput/Keong/kilogram
T;NENAS SIRUP;kilogram;47.852;NENAS SIRUP/kilogram
T;BIBIT SUKUN;buah/butir/batang;47.826;BIBIT SUKUN/buah/butir/batang
I;Ikan Gobies;kilogram;47.822;Ikan Gobies/kilogram
T;TEPUNG KENTANG;kilogram;47.782;TEPUNG KENTANG/kilogram
I;Wrasse;ekor;47.527;Wrasse/ekor
I;Burung Laut;ekor;47.406;Burung Laut/ekor
I;Benih Bawal Air Tawar;kilogram;47.000;Benih Bawal Air Tawar/kilogram
T;BUNGA POTONG SEGAR;kilogram;46.995;BUNGA POTONG SEGAR/kilogram
T;SRIGADING;buah/butir/batang;46.914;SRIGADING/buah/butir/batang
I;Paros;ekor;46.743;Paros/ekor
T;ALOCASIA;buah/butir/batang;46.670;ALOCASIA/buah/butir/batang
T;LAIN-LAIN;vial;46.667;LAIN-LAIN/vial
T;ANUBIAS SP;buah/butir/batang;46.514;ANUBIAS SP/buah/butir/batang
T;BENIH ZAMIA;buah/butir/batang;46.267;BENIH ZAMIA/buah/butir/batang
T;BUNGA ANGGREK DENDROBIUM;buah/butir/batang;46.211;BUNGA ANGGREK DENDROBIUM/buah/butir/batang
T;BUNGA CHAMAE CYPARIS;buah/butir/batang;45.970;BUNGA CHAMAE CYPARIS/buah/butir/batang
I;Naga Laut;ekor;45.833;Naga Laut/ekor
T;KELAPA SERABUT;kilogram;45.816;KELAPA SERABUT/kilogram
T;WIJEN;kilogram;45.804;WIJEN/kilogram
I;Ikan Lidah;kilogram;45.665;Ikan Lidah/kilogram
T;BUNGA LILI;buah/butir/batang;45.597;BUNGA LILI/buah/butir/batang
T;BIBIT PHILODENDRON;buah/butir/batang;45.439;BIBIT PHILODENDRON/buah/butir/batang
T;BUAH APEL;kilogram;45.407;BUAH APEL/kilogram
I;Paperek;kilogram;45.352;Paperek/kilogram
I;Ikan Kuro;kilogram;45.324;Ikan Kuro/kilogram
H;Daging Ayam Beku;kilogram;45.000;Daging Ayam Beku/kilogram
I;Ikan Alu-alu;ekor;45.000;Ikan Alu-alu/ekor
T;BIBIT KAKAO;buah/butir/batang;45.000;BIBIT KAKAO/buah/butir/batang
T;BUAH PALA;kilogram;44.963;BUAH PALA/kilogram
T;KISMIS;kilogram;44.880;KISMIS/kilogram
T;BIBIT ANGGUR;buah/butir/batang;44.815;BIBIT ANGGUR/buah/butir/batang
T;AKAR PAKIS;buah/butir/batang;44.792;AKAR PAKIS/buah/butir/batang
I;Blue Fruntosa;ekor;44.692;Blue Fruntosa/ekor
T;IJUK LONTAR;kilogram;44.590;IJUK LONTAR/kilogram
T;BIBIT SANSEVIERIA;buah/butir/batang;44.523;BIBIT SANSEVIERIA/buah/butir/batang
I;Clown Fish;ekor;44.436;Clown Fish/ekor
I;Ikan Karang;kilogram;44.425;Ikan Karang/kilogram
T;ANDEWI;buah/butir/batang;44.331;ANDEWI/buah/butir/batang
T;BUAH KELENGKENG;kilogram;44.291;BUAH KELENGKENG/kilogram
T;TRICHOMANES JAVANICUM;buah/butir/batang;44.290;TRICHOMANES JAVANICUM/buah/butir/batang
I;Ikan Cendro;kilogram;44.258;Ikan Cendro/kilogram
T;BUAH PASSION;kilogram;44.113;BUAH PASSION/kilogram
T;BIBIT PALEM SYARGUS;kilogram;43.949;BIBIT PALEM SYARGUS/kilogram
T;JAGUNG PELET;kilogram;43.949;JAGUNG PELET/kilogram
I;Pony Fish;kilogram;43.791;Pony Fish/kilogram
T;SINGKONG IRIS BEKU;kilogram;43.770;SINGKONG IRIS BEKU/kilogram
I;Ikan Mandarin;ekor;43.438;Ikan Mandarin/ekor
T;FRESH PRODUCE;kilogram;43.328;FRESH PRODUCE/kilogram
T;BIBIT UBI JALAR;kilogram;43.316;BIBIT UBI JALAR/kilogram
I;Ikan Hias Air Laut;ekor;43.273;Ikan Hias Air Laut/ekor
T;JAHE;kilogram;43.243;JAHE/kilogram
T;KENTANG IRIS BEKU;kilogram;42.962;KENTANG IRIS BEKU/kilogram
I;Grass Carp;ekor;42.938;Grass Carp/ekor
T;DAUN SAWIT;kemasan;42.857;DAUN SAWIT/kemasan
T;RAGI;buah/butir/batang;42.820;RAGI/buah/butir/batang
T;TEPUNG KELAPA;kilogram;22.010;TEPUNG KELAPA/kilogram
T;ASPARAGUS;buah/butir/batang;42.778;ASPARAGUS/buah/butir/batang
T;Tanaman Hoya;buah/butir/batang;42.686;Tanaman Hoya/buah/butir/batang
I;Palmas;ekor;42.674;Palmas/ekor
T;BUNGA MELATI SEGAR;box;42.602;BUNGA MELATI SEGAR/box
T;BIBIT EUSTOMA;buah/butir/batang;42.500;BIBIT EUSTOMA/buah/butir/batang
T;VESICULARIA DUBYANA;kilogram;42.500;VESICULARIA DUBYANA/kilogram
T;MAJAKANI;kilogram;42.381;MAJAKANI/kilogram
I;Ikan Kakatua;ekor;42.132;Ikan Kakatua/ekor
T;BIBIT TANAMAN HIAS;buah/butir/batang;42.124;BIBIT TANAMAN HIAS/buah/butir/batang
T;KENCUR;kilogram;41.655;KENCUR/kilogram
T;BAWANG BOMBAI;kilogram;41.250;BAWANG BOMBAI/kilogram
T;WHITE BROOMCORN MILLET;kilogram;41.055;WHITE BROOMCORN MILLET/kilogram
T;PALM KERNEL OIL;kilogram;40.981;PALM KERNEL OIL/kilogram
I;Nila;ekor;40.900;Nila/ekor
I;Surimi;kilogram;40.819;Surimi/kilogram
I;Coral;kilogram;40.485;Coral/kilogram
T;BIBIT TANAMAN AQUARIUM;buah/butir/batang;40.210;BIBIT TANAMAN AQUARIUM/buah/butir/batang
T;TETES TEBU;liter;40.188;TETES TEBU/liter
I;Cupang;ekor;40.068;Cupang/ekor
H;Ayam;kilogram;40.000;Ayam/kilogram
H;Burung Merpati;ekor;40.000;Burung Merpati/ekor
I;Anthias;ekor;40.000;Anthias/ekor
I;Benih Aligator Gar;ekor;40.000;Benih Aligator Gar/ekor
I;Benih Ikan Hias Air Laut;ekor;40.000;Benih Ikan Hias Air Laut/ekor
I;Catfish;kilogram;40.000;Catfish/kilogram
I;Ekor Kuning;kilogram;40.000;Ekor Kuning/kilogram
I;Ikan Bawal;ekor;40.000;Ikan Bawal/ekor
I;Ikan Ekor Kuning;kilogram;40.000;Ikan Ekor Kuning/kilogram
T;BALOK KAYU KELAPA;buah/butir/batang;40.000;BALOK KAYU KELAPA/buah/butir/batang
T;BENIH PALEM JEPANG;kilogram;40.000;BENIH PALEM JEPANG/kilogram
T;BIBIT AMARILIS;buah/butir/batang;40.000;BIBIT AMARILIS/buah/butir/batang
T;BIBIT ANGGREK BULBOPHYLLUM;buah/butir/batang;40.000;BIBIT ANGGREK BULBOPHYLLUM/buah/butir/batang
T;BIBIT BUNGA MELATI;buah/butir/batang;40.000;BIBIT BUNGA MELATI/buah/butir/batang
T;BIBIT CORDYLINE;buah/butir/batang;40.000;BIBIT CORDYLINE/buah/butir/batang
T;BIBIT HEDERA;buah/butir/batang;40.000;BIBIT HEDERA/buah/butir/batang
T;BIBIT KUNYIT;buah/butir/batang;40.000;BIBIT KUNYIT/buah/butir/batang
T;BIBIT TANAMAN OBAT;buah/butir/batang;40.000;BIBIT TANAMAN OBAT/buah/butir/batang
T;BIDARA/JUJUBE;buah/butir/batang;40.000;BIDARA/JUJUBE/buah/butir/batang
T;BUAH NAGA;buah/butir/batang;40.000;BUAH NAGA/buah/butir/batang
T;BUAH RAMBUTAN;buah/butir/batang;40.000;BUAH RAMBUTAN/buah/butir/batang
T;MAMEY SAPOTE;buah/butir/batang;40.000;MAMEY SAPOTE/buah/butir/batang
T;RUBUS;buah/butir/batang;40.000;RUBUS/buah/butir/batang
T;Tanaman Ekor Naga;buah/butir/batang;39.973;Tanaman Ekor Naga/buah/butir/batang
T;BIBIT CALLA LILY;buah/butir/batang;39.916;BIBIT CALLA LILY/buah/butir/batang
T;BIBIT JAMBU AIR;buah/butir/batang;39.916;BIBIT JAMBU AIR/buah/butir/batang
T;LIDAH MERTUA;buah/butir/batang;39.724;LIDAH MERTUA/buah/butir/batang
I;Ikan Lemuru;kilogram;39.707;Ikan Lemuru/kilogram
I;Mono;ekor;39.662;Mono/ekor
T;BIBIT PALM RAPHIS;buah/butir/batang;39.652;BIBIT PALM RAPHIS/buah/butir/batang
T;BENIH ARECA(PLM);buah/butir/batang;39.635;BENIH ARECA(PLM)/buah/butir/batang
I;Obat Ikan;liter;39.412;Obat Ikan/liter
I;Udang Karang;ekor;38.767;Udang Karang/ekor
T;TEPUNG BERAS;kilogram;38.709;TEPUNG BERAS/kilogram
T;BIBIT SALAM;buah/butir/batang;38.659;BIBIT SALAM/buah/butir/batang
I;Patin;ekor;38.623;Patin/ekor
I;Ikan Hias;kilogram;38.608;Ikan Hias/kilogram
I;Trigger Fish;ekor;38.572;Trigger Fish/ekor
T;PAPRIKA;kilogram;38.553;PAPRIKA/kilogram
T;KACANG COKLAT;kilogram;38.499;KACANG COKLAT/kilogram
T;BIBIT SIRIH;buah/butir/batang;38.435;BIBIT SIRIH/buah/butir/batang
I;Peyang;ekor;38.400;Peyang/ekor
T;BENIH MOSTER;kilogram;38.100;BENIH MOSTER/kilogram
T;SPATYPHYLLUM;buah/butir/batang;37.985;SPATYPHYLLUM/buah/butir/batang
T;BIBIT HELICONIA;buah/butir/batang;37.963;BIBIT HELICONIA/buah/butir/batang
T;ORNAMENTAL PLANTS;buah/butir/batang;37.919;ORNAMENTAL PLANTS/buah/butir/batang
T;BIBIT KELAPA;kilogram;37.889;BIBIT KELAPA/kilogram
I;Cherax;ekor;37.671;Cherax/ekor
T;BIBIT KELADI TIKUS;buah/butir/batang;37.470;BIBIT KELADI TIKUS/buah/butir/batang
T;BIBIT MANGGIS;buah/butir/batang;37.449;BIBIT MANGGIS/buah/butir/batang
I;Keong Sawah;kilogram;37.446;Keong Sawah/kilogram
T;BIBIT BAMBU;buah/butir/batang;37.356;BIBIT BAMBU/buah/butir/batang
I;Unicorn Fish;kilogram;37.269;Unicorn Fish/kilogram
I;Induk Kepiting;ekor;37.161;Induk Kepiting/ekor
I;Unicorn Fish;ekor;37.046;Unicorn Fish/ekor
I;Gabus;kilogram;37.000;Gabus/kilogram
I;Udang Pink;ekor;36.941;Udang Pink/ekor
T;BIBIT BUNGA GARDENIA;buah/butir/batang;36.765;BIBIT BUNGA GARDENIA/buah/butir/batang
T;CINCAU HITAM;kilogram;36.559;CINCAU HITAM/kilogram
T;BERAS CAMPURAN;kilogram;36.250;BERAS CAMPURAN/kilogram
T;BIBIT AGLAONEMA;buah/butir/batang;36.154;BIBIT AGLAONEMA/buah/butir/batang
T;WHEAT GLUTEN;kilogram;36.080;WHEAT GLUTEN/kilogram
T;OIL PALM KERNEL;kilogram;36.075;OIL PALM KERNEL/kilogram
I;Udang Belalang;ekor;36.071;Udang Belalang/ekor
T;BIBIT WALISONGO;buah/butir/batang;36.000;BIBIT WALISONGO/buah/butir/batang
I;Darter;ekor;35.971;Darter/ekor
I;Sidat;kilogram;35.928;Sidat/kilogram
I;Moonfish;ekor;35.914;Moonfish/ekor
I;Moray;ekor;35.908;Moray/ekor
T;JAGUNG PATI;kilogram;35.851;JAGUNG PATI/kilogram
T;BIBIT LIDAH BUAYA;buah/butir/batang;35.833;BIBIT LIDAH BUAYA/buah/butir/batang
I;Giant Trevally;kilogram;35.783;Giant Trevally/kilogram
T;BENIH PALEM CYRTOSTACHYS RENDRA;buah/butir/batang;35.683;BENIH PALEM CYRTOSTACHYS RENDRA/buah/butir/batang
T;BUNGKIL KELAPA;kilogram;35.617;BUNGKIL KELAPA/kilogram
I;Ikan Wrasse;ekor;35.544;Ikan Wrasse/ekor
I;Snowfish;ekor;35.513;Snowfish/ekor
T;BIBIT MAWAR;buah/butir/batang;35.386;BIBIT MAWAR/buah/butir/batang
T;GARLIC POWDER;kilogram;35.226;GARLIC POWDER/kilogram
T;MENGKUDU;kilogram;35.177;MENGKUDU/kilogram
T;BUNGA PEACH HAKEA;buah/butir/batang;35.120;BUNGA PEACH HAKEA/buah/butir/batang
T;BIBIT ANUBIAS;buah/butir/batang;35.113;BIBIT ANUBIAS/buah/butir/batang
T;DRAGON FRUIT;kilogram;35.069;DRAGON FRUIT/kilogram
I;Ikan Kakapan;kilogram;35.014;Ikan Kakapan/kilogram
T;BIBIT SYNGONIUM;buah/butir/batang;35.014;BIBIT SYNGONIUM/buah/butir/batang
H;Telur Bebek / Itik;kilogram;35.000;Telur Bebek / Itik/kilogram
I;Banner fish;ekor;35.000;Banner fish/ekor
T;ZUCCINI;kilogram;34.775;ZUCCINI/kilogram
T;YOUNG COCONUT;kilogram;34.721;YOUNG COCONUT/kilogram
T;BIBIT KANGKUNG;kilogram;34.479;BIBIT KANGKUNG/kilogram
T;KENTANG KONSUMSI;kilogram;34.451;KENTANG KONSUMSI/kilogram
T;BUNGA GALAX;kilogram;34.377;BUNGA GALAX/kilogram
T;BIBIT CATTLEYA;buah/butir/batang;34.327;BIBIT CATTLEYA/buah/butir/batang
I;Lizard Fish;ekor;34.291;Lizard Fish/ekor
I;Lele;kilogram;34.187;Lele/kilogram
T;BUNGA MELATI SEGAR;kilogram;34.121;BUNGA MELATI SEGAR/kilogram
T;DAUN MINT;kilogram;34.064;DAUN MINT/kilogram
T;BIBIT BEGONIA;buah/butir/batang;33.998;BIBIT BEGONIA/buah/butir/batang
T;DAUN CINCAU;kilogram;33.926;DAUN CINCAU/kilogram
T;BUNGA ANTHURIUM;buah/butir/batang;33.838;BUNGA ANTHURIUM/buah/butir/batang
T;BIBIT TANAMAN HIAS;kemasan;33.750;BIBIT TANAMAN HIAS/kemasan
T;BIBIT LADA;buah/butir/batang;33.677;BIBIT LADA/buah/butir/batang
T;AKAR MURBEI;kilogram;33.611;AKAR MURBEI/kilogram
T;SAYURAN BROKOLI;kilogram;33.449;SAYURAN BROKOLI/kilogram
I;Sonang;ekor;33.375;Sonang/ekor
