jenis_permohonan;jenis_karantina;upt_baru;komoditas;kode_hs;volume_conv;satuan_conv;nilai_conv;pemohon
EX;T;Balai Karantina Hewan, Ikan, dan Tumbuhan Sumatera Selatan;KARET LEMPENGAN;40012210;100800;kilogram;2565645465;PT. BUMI BELITI ABADI
EX;T;Balai Karantina Hewan, Ikan, dan Tumbuhan Sumatera Selatan;KARET LEMPENGAN;40012220;100800;kilogram;2561666546;PT. BUMI BELITI ABADI
EX;T;Balai Karantina Hewan, Ikan, dan Tumbuhan Sumatera Selatan;KARET LEMPENGAN;40012220;100800;kilogram;2569784765;PT. BUMI BELITI ABADI
EX;T;Balai Karantina Hewan, Ikan, dan Tumbuhan Sumatera Selatan;KARET LEMPENGAN;40012220;100800;kilogram;2256414696;PT. BUMI BELITI ABADI
EX;T;Balai Karantina Hewan, Ikan, dan Tumbuhan Sumatera Selatan;KARET LEMPENGAN;40012220;100800;kilogram;2291767675;PT. BUMI BELITI ABADI
EX;T;Balai Karantina Hewan, Ikan, dan Tumbuhan Sumatera Selatan;KARET LEMPENGAN;40012220;100800;kilogram;2254144565;PT. BUMI BELITI ABADI
EX;T;Balai Karantina Hewan, Ikan, dan Tumbuhan Sumatera Selatan;KARET LEMPENGAN;40012210;100800;kilogram;2230346542;PT. BUMI BELITI ABADI
EX;T;Balai Karantina Hewan, Ikan, dan Tumbuhan Sumatera Selatan;KARET LEMPENGAN;40012220;100800;kilogram;2217896716;PT. BUMI BELITI ABADI
EX;T;Balai Karantina Hewan, Ikan, dan Tumbuhan Sumatera Selatan;KARET LEMPENGAN;40012220;100800;kilogram;2231646545;PT. BUMI BELITI ABADI
EX;T;Balai Karantina Hewan, Ikan, dan Tumbuhan Sumatera Selatan;KARET LEMPENGAN;40012220;100800;kilogram;2266554645;PT. BUMI BELITI ABADI
EX;T;Balai Karantina Hewan, Ikan, dan Tumbuhan Sumatera Selatan;KARET LEMPENGAN;40012220;100800;kilogram;2534164655;PT. BUMI BELITI ABADI
EX;T;Balai Karantina Hewan, Ikan, dan Tumbuhan Sumatera Selatan;KARET LEMPENGAN;40012220;100800;kilogram;2535678577;PT. BUMI BELITI ABADI
EX;T;Balai Karantina Hewan, Ikan, dan Tumbuhan Sumatera Selatan;KARET LEMPENGAN;40012220;100800;kilogram;1832322200;PT. BINTANG GASING PERSADA
EX;T;Balai Karantina Hewan, Ikan, dan Tumbuhan Sumatera Selatan;KARET LEMPENGAN;40012220;100800;kilogram;2348564624;PT. BINTANG GASING PERSADA
EX;T;Balai Karantina Hewan, Ikan, dan Tumbuhan Sumatera Selatan;KARET LEMPENGAN;40012220;100800;kilogram;2348564624;PT. BINTANG GASING PERSADA
EX;T;Balai Karantina Hewan, Ikan, dan Tumbuhan Sumatera Selatan;KARET LEMPENGAN;40012220;100800;kilogram;2348564624;PT. BINTANG GASING PERSADA
EX;T;Balai Karantina Hewan, Ikan, dan Tumbuhan Sumatera Selatan;KARET LEMPENGAN;40012220;100800;kilogram;2348564624;PT. BINTANG GASING PERSADA
EX;T;Balai Karantina Hewan, Ikan, dan Tumbuhan Sumatera Selatan;KARET LEMPENGAN;40012220;20160;kilogram;483300442;PT. GADJAH RUKU
EX;T;Balai Karantina Hewan, Ikan, dan Tumbuhan Sumatera Selatan;KARET LEMBARAN;40012220;98000;kilogram;2192460000;PT KARET BATIN DELAPAN
EX;T;Balai Karantina Hewan, Ikan, dan Tumbuhan Sumatera Selatan;KARET LEMBARAN;40012220;98000;kilogram;2227050000;PT KARET BATIN DELAPAN
EX;T;Balai Karantina Hewan, Ikan, dan Tumbuhan Sumatera Selatan;KARET LEMBARAN;40012220;98000;kilogram;2278500000;PT KARET BATIN DELAPAN
EX;T;Balai Karantina Hewan, Ikan, dan Tumbuhan Sumatera Selatan;KARET LEMBARAN;40012220;98000;kilogram;2278500000;PT KARET BATIN DELAPAN
EX;T;Balai Karantina Hewan, Ikan, dan Tumbuhan Sumatera Selatan;KARET LEMBARAN;40012220;100800;kilogram;2257264800;PT KARET BATIN DELAPAN
